Id,cooling,model,torque,bore_stroke,transmission,dry_weight,frame,fuel_control,lubrication,engine,rear_suspension,total_length,starter,displacement,rear_brakes,compression,ignition,total_width,valves_per_cylinder,front_suspension,fuel_capacity,total_height,rear_tire,make,gearbox,emission,fuel_consumption,type,top_speed,total_weight,ground_clearance,wheelbase,clutch,fuel_system,year,rear_wheel_travel,front_brakes,front_tire,seat_height,power,front_wheel_travel
142,Liquid,Versys 1000 SE LT Plus,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7500 RPM,77.0 x 56.0 mm (3.0 x 2.2 inches),Chain   (final drive),,Twin-spar aluminum,Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, wet sump","In-line four, four-stroke","Horizontal back-link New Uni-Trak®, BFRC gas charged shock with piggyback reservoir, KECS-controlled compression and rebound damping electronically-adjustable spring preload",2271 mm (89.4 inches),Electric,1043.0 ccm (63.64 cubic inches),Single disc. ABS. Single-piston caliper. Petal-style discs.,10.3:1,TCBI with digital advance,950 mm (37.4 inches),4,"43mm inverted fork with KECS-controlled rebound and compression damping, manual spring preload adjustability and top-out springs",20.82 litres (5.50 US gallons),1491 mm (58.7 inches),180/55-ZR17 ,Kawasaki,6-speed,,,Sport touring,,257.1 kg (566.7 pounds),150 mm (5.9 inches),1519 mm (59.8 inches),Assist  and  Slipper Clutc,Injection. DFI® with 38mm Keihin ETV throttle bodies (4),2021,150 mm (5.9 inches),Double disc. ABS. Four-piston calipers. Petal-style discs.,120/70-ZR17 ,"841 mm (33.1 inches) If adjustable, lowest setting.",120.0 HP (87.6  kW)) @ 9000 RPM,150 mm (5.9 inches)
143,Liquid,Versys 1000 Tourer,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7500 RPM,77.0 x 56.0 mm (3.0 x 2.2 inches),Chain   (final drive),,"Twin-tube, aluminium",Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, wet sump","In-line four, four-stroke","Horizontal back-link shock with adjustable rebound damping and adjustable spring preload, remote preload adjuster",2270 mm (89.4 inches),Electric,1043.0 ccm (63.64 cubic inches),Single disc. Petal disc. Single-piston caliper.,10.3:1,Digital,950 mm (37.4 inches),4,43mm inverted front fork with adjustable rebound and preload,21.00 litres (5.55 US gallons),1400 mm (55.1 inches),180/55-ZR17 ,Kawasaki,6-speed,132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.70 litres/100 km (17.5 km/l or 41.27 mpg),Sport touring,,257.0 kg (566.6 pounds),150 mm (5.9 inches),1520 mm (59.8 inches),"Wet multi-disc, manual",Injection,2021,150 mm (5.9 inches),Double disc. Petal discs. Dual opposed 4-piston caliper,120/70-ZR17 ,"840 mm (33.1 inches) If adjustable, lowest setting.",118.3 HP (86.3  kW)) @ 9000 RPM,150 mm (5.9 inches)
144,Liquid,Versys 650,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 7000 RPM,83.0 x 60.0 mm (3.3 x 2.4 inches),Chain   (final drive),216.1 kg (476.3 pounds),Double pipe diamond frame constructed from high-tensile steel,Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, semi-dry sump","Twin, four-stroke",Single offset laydown shock with remote adjustable spring preload,2165 mm (85.2 inches),Electric,649.0 ccm (39.60 cubic inches),Single disc. ABS. Single-piston caliper.  Petal-style disc.,10.8:1,TCBI with electronic advance,841 mm (33.1 inches),4,41mm hydraulic telescopic fork with stepless adjustable rebound and preload / 5.9 in.,21.00 litres (5.55 US gallons),1400 mm (55.1 inches),160/60-ZR17 ,Kawasaki,6-speed,,,Allround,,,170 mm (6.7 inches),1415 mm (55.7 inches),,Injection. DFI® with 38mm Keihin throttle bodies (2),2021,145 mm (5.7 inches),Double disc. ABS. Two-piston calipers. Petal-style discs.,120/70-ZR17 ,"840 mm (33.1 inches) If adjustable, lowest setting.",69.0 HP (50.4  kW)) @ 8500 RPM,150 mm (5.9 inches)
145,Liquid,Versys 650 LT,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 3800 RPM,83.0 x 60.0 mm (3.3 x 2.4 inches),Chain   (final drive),216.0 kg (476.2 pounds),Double pipe diamond frame constructed from high-tensile steel,Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, semi-dry sump","Twin, four-stroke",Single offset laydown shock with remote adjustable spring preload,2165 mm (85.2 inches),Electric,649.0 ccm (39.60 cubic inches),Single disc. ABS. Single-piston caliper.  Petal-style disc.,10.8:1,TCBI with electronic advance,840 mm (33.1 inches),4,Inverted telescopic fork with adjustable rebound damping ,21.00 litres (5.55 US gallons),1400 mm (55.1 inches),160/60-ZR17 ,Kawasaki,6-speed,,,Allround,,,170 mm (6.7 inches),1415 mm (55.7 inches),,Injection. DFI® with 38mm Keihin throttle bodies (2),2021,145 mm (5.7 inches),Double disc. ABS. Two-piston calipers. Petal-style discs.,120/70-ZR17 ,"840 mm (33.1 inches) If adjustable, lowest setting.",52.3 HP (38.2  kW)) @ 7800 RPM,150 mm (5.9 inches)
146,Liquid,Versys 650 Tourer,,83.0 x 60.0 mm (3.3 x 2.4 inches),Chain   (final drive),,Tubular Diamond,Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, semi-dry sump","Twin, four-stroke",Offset laydown single-shock with remote spring preload adjustability,2165 mm (85.2 inches),Electric,649.0 ccm (39.60 cubic inches),Single disc. ABS. Single-piston caliper.  Petal-style disc.,,Digital,840 mm (33.1 inches),4,41 mm inverted telescopic fork with stepless adjustable rebound damping (right side) and adjustable preload (left-side),21.00 litres (5.55 US gallons),1450 mm (57.1 inches),160/60-17 ,Kawasaki,6-speed,,,Allround,,217.0 kg (478.4 pounds),,1415 mm (55.7 inches),,Injection. 38mm Keihin thrittle bodies,2021,,Double disc. ABS. Two-piston calipers. Petal-style discs.,120/70-17 ,"840 mm (33.1 inches) If adjustable, lowest setting.",,
147,Liquid,Versys-X 300,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 10000 RPM,62.0 x 49.0 mm (2.4 x 1.9 inches),Chain   (final drive),175.0 kg (385.9 pounds),"Tubular, diamond",Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, wet sump","Twin, four-stroke",Uni-Trak® swingarm,2169 mm (85.4 inches),Electric,296.0 ccm (18.06 cubic inches),Single disc. ABS,10.6:1,TCBI with digital advance,861 mm (33.9 inches),,Telescopic fork,17.00 litres (4.49 US gallons),1389 mm (54.7 inches),130/80-M17 ,Kawasaki,6-speed,,,Allround,,,180 mm (7.1 inches),1450 mm (57.1 inches),Assist  and  Slipper Clutch,Injection. DFI® with 32mm throttle bodies (2),2021,147 mm (5.8 inches),Single disc. ABS,100/90-M19 ,"815 mm (32.1 inches) If adjustable, lowest setting.",,130 mm (5.1 inches)
148,Liquid,Versys-X 300 SE,25.1 Nm (2.6 kgf-m or 18.5 ft.lbs) @ 10000 RPM,62.0 x 49.0 mm (2.4 x 1.9 inches),Chain   (final drive),175.0 kg (385.8 pounds),"Tubular, diamond",Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, wet sump","Twin, four-stroke","Bottom-Link Uni Trak, gas-charged shock with adjustable preload",2170 mm (85.4 inches),Electric,296.0 ccm (18.06 cubic inches),Single disc. ABS,10.6:1,TCBI with digital advance,860 mm (33.9 inches),,Telescopic fork 41mm,17.00 litres (4.49 US gallons),1390 mm (54.7 inches),130/80-M17 ,Kawasaki,6-speed,,,Allround,,,180 mm (7.1 inches),1450 mm (57.1 inches),Assist  and  Slipper Clutch,Injection. DFI® with 32mm throttle bodies (2),2021,148 mm (5.8 inches),Single disc. ABS,100/90-M19 ,"815 mm (32.1 inches) If adjustable, lowest setting.",39.3 HP (28.7  kW)) @ 11500 RPM,130 mm (5.1 inches)
149,Liquid,Vulcan 1700 Vaquero ,145.9 Nm (14.9 kgf-m or 107.6 ft.lbs) @ 2750 RPM,102.0 x 104.0 mm (4.0 x 4.1 inches),Belt   (final drive),,"Steel, double-cradle with box-section single-tube backbone",Single Overhead Cams (SOHC),,"V2, four-stroke","Swingarm with twin air-assisted shocks, with 4-way rebound damping",2510 mm (98.8 inches),Electric,1700.0 ccm (103.73 cubic inches),"Single disc. ABS, twin-piston caliper, K-ACT II",9.5:1,TCBI with Digital Advance,970 mm (38.2 inches),4,45mm Showa telescopic fork,20.06 litres (5.30 US gallons),1290 mm (50.8 inches),170/70-16 ,Kawasaki,6-speed,,,Touring,,406.1 kg (895.2 pounds),145 mm (5.7 inches),1666 mm (65.6 inches),,Injection. DFI with dual 42mm throttle bodies,2021,79 mm (3.1 inches),"Double disc. ABS, dual four-piston calipers, K-ACT II.",130/90-16 ,"729 mm (28.7 inches) If adjustable, lowest setting.",,140 mm (5.5 inches)
150,Liquid,Vulcan 1700 Voyager,145.9 Nm (14.9 kgf-m or 107.6 ft.lbs) @ 2750 RPM,102.0 x 104.0 mm (4.0 x 4.1 inches),Belt   (final drive),,"Steel, double-cradle with box-section single-tube backbone",Single Overhead Cams (SOHC),"Forced lubrication, semi dry sump","V2, four-stroke","Swingarm with twin air-assisted shocks, with 4-way rebound damping",2560 mm (100.8 inches),Electric,1700.0 ccm (103.73 cubic inches),"Single disc. Twin-piston caliper, K-ACT II ABS",9.5:1,TCBI with digital advance,996 mm (39.2 inches),4,45mm Showa telescopic fork,20.06 litres (5.30 US gallons),1549 mm (61.0 inches),170/70-16 ,Kawasaki,6-speed,,,Touring,,406.1 kg (895.2 pounds),135 mm (5.3 inches),1664 mm (65.5 inches),,Injection. DFI with dual 42mm throttle bodies,2021,79 mm (3.1 inches),"Double disc. Dual four-piston calipers, K-ACT II ABS.",130/90-16 ,"729 mm (28.7 inches) If adjustable, lowest setting.",73.0 HP (53.3  kW)) @ 5000 RPM,140 mm (5.5 inches)
151,Oil & air,Electra Glide Standard,150.5 Nm (15.3 kgf-m or 111.0 ft.lbs) @ 3250 RPM,100.0 x 111.0 mm (3.9 x 4.4 inches),Belt   (final drive),354.3 kg (781.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),,"V2, four-stroke",Premium Low Hand-Adjustable Rear Suspension,2400 mm (94.5 inches),Electric,1746.0 ccm (106.54 cubic inches),Single disc. Optional ABS. 4-piston,10.0:1,,,,49 mm Dual Bending Valve fork,22.71 litres (6.00 US gallons),,180/65-B16 ,Harley-Davidson,6-speed,126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.47 litres/100 km (18.3 km/l or 43.00 mpg),Touring,,372.0 kg (820.0 pounds),119 mm (4.7 inches),1625 mm (64.0 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection,2022,,Double disc. Optional ABS. 4-piston,130/80-B17 ,"663 mm (26.1 inches) If adjustable, lowest setting.",90.0 HP (65.7  kW)) @ 5450 RPM,
152,Air,Fat Bob 114,160.0 Nm (16.3 kgf-m or 118.0 ft.lbs) @ 3500 RPM,102.0 x 114.0 mm (4.0 x 4.5 inches),Belt   (final drive),296.2 kg (653.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),,"V2, four-stroke","Hidden, free piston, coil-over monoshock; 56mm stroke; toolless hydraulic preload adjustment",2340 mm (92.1 inches),Electric,1868.0 ccm (113.99 cubic inches),Single disc. ABS. 2-piston.,10.5:1,,,,Single cartridge 43 mm inverted with aluminum fork triple clamps; triple rate spring,13.60 litres (3.59 US gallons),,180/70-B16 ,Harley-Davidson,6-speed,116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.00 litres/100 km (20.0 km/l or 47.04 mpg),Custom / cruiser,,306.2 kg (675.0 pounds),120 mm (4.7 inches),1615 mm (63.6 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection,2022,,Double disc. ABS. 4-piston. ,150/80-16 ,"704 mm (27.7 inches) If adjustable, lowest setting.",94.0 HP (68.6  kW)) @ 5020 RPM,
153,Air,Fat Boy 114,161.4 Nm (16.5 kgf-m or 119.0 ft.lbs) @ 3000 RPM,102.0 x 114.0 mm (4.0 x 4.5 inches),Belt   (final drive),304.4 kg (671.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),,"V2, four-stroke","Hidden, free piston, coil-over monoshock; 43mm stroke; toolless hydraulic preload adjustment",2385 mm (93.9 inches),Electric,1868.0 ccm (113.99 cubic inches),Single disc. Optional ABS. 2-piston.,10.5:1,,,,Dual-bending valve 49 mm telescopic with aluminum fork triple clamps; dual rate spring; ´beer can´ covers,18.93 litres (5.00 US gallons),,240/40-R18 ,Harley-Davidson,6-speed,111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,4.80 litres/100 km (20.8 km/l or 49.00 mpg),Custom / cruiser,,317.1 kg (699.0 pounds),114 mm (4.5 inches),1666 mm (65.6 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection,2022,,Double disc. Optional ABS. 4-piston. ,160/60-R18 ,"658 mm (25.9 inches) If adjustable, lowest setting.",100.0 HP (73.0  kW)) @ 5020 RPM,
154,Air,Forty-Eight,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 3500 RPM,88.9 x 96.8 mm (3.5 x 3.8 inches),Belt   (final drive),247.0 kg (544.5 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke",Variable rate spring over 36mm piston nitrogen gas-charged emulsion style shock with thread style preload adjustment,2164 mm (85.2 inches),Electric,1202.0 ccm (73.35 cubic inches),Single disc. Dual-piston. Optional ABS.,10.0:1,,,,"49 mm fork set, free valve right hand and cartridge style left hand",7.90 litres (2.09 US gallons),,150/80-B16 ,Harley-Davidson,6-speed,113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,4.90 litres/100 km (20.4 km/l or 48.00 mpg),Custom / cruiser,,252.0 kg (555.6 pounds),110 mm (4.3 inches),1495 mm (58.9 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection,2022,,Single disc. Dual-piston. Optional ABS.,130/90-B16 ,"665 mm (26.2 inches) If adjustable, lowest setting.",65.0 HP (47.4  kW)) @ 6000 RPM,
155,Oil & air,Freewheeler,165.4 Nm (16.9 kgf-m or 122.0 ft.lbs) @ 2250 RPM,102.0 x 114.3 mm (4.0 x 4.5 inches),Belt   (final drive),"492.0 kg (1,084.7 pounds)",,Double Overhead Cams/Twin Cam (DOHC),,"V2, four-stroke",Hand-adjustable emulsion rear suspension,2615 mm (103.0 inches),Electric,1868.0 ccm (113.99 cubic inches),Single disc. 2-piston caliper. ABS.,10.5:1,,,,"Telescopic fork, 49mm dual bending valve",22.71 litres (6.00 US gallons),,205/65-R15 ,Harley-Davidson,6-speed,126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.47 litres/100 km (18.3 km/l or 43.00 mpg),Custom / cruiser,,"507.1 kg (1,118.0 pounds)",125 mm (4.9 inches),1670 mm (65.7 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection,2022,,Double disc. 4 piston caliper. ABS.,130/60-B19 ,"665 mm (26.2 inches) If adjustable, lowest setting.",100.0 HP (73.0  kW)) @ 5020 RPM,
156,Air,Heritage Classic,161.4 Nm (16.5 kgf-m or 119.0 ft.lbs) @ 3000 RPM,102.0 x 116.8 mm (4.0 x 4.6 inches),Belt   (final drive),316.2 kg (697.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),,"V2, four-stroke","Hidden, free piston, coil-over monoshock; 56mm stroke; hydraulic preload adjustment",2415 mm (95.1 inches),Electric,1868.2 ccm (114.00 cubic inches),Single disc. ABS. 2-piston floating.,10.5:1,,,,Dual-bending valve 49 mm telescopic with aluminum fork triple clamps; dual rate spring; ´beer can´ covers,18.90 litres (4.99 US gallons),,150/80-B16 ,Harley-Davidson,6-speed,116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.00 litres/100 km (20.0 km/l or 47.04 mpg),Custom / cruiser,,330.2 kg (728.0 pounds),120 mm (4.7 inches),1630 mm (64.2 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection,2022,,Single disc. ABS. 4-piston,130/90-B16 ,"668 mm (26.3 inches) If adjustable, lowest setting.",,
157,Air,Iron 883,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 3750 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),Belt   (final drive),247.0 kg (544.5 pounds),,,Dry sump,"V2, four-stroke",Twin shocks.,2185 mm (86.0 inches),Electric,883.0 ccm (53.88 cubic inches),"Single disc. Optional ABS, dual piston",9.0:1,,,,Telescopic fork,12.50 litres (3.30 US gallons),,150/80-B16 ,Harley-Davidson,6-speed,107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,4.61 litres/100 km (21.7 km/l or 51.02 mpg),Custom / cruiser,,256.0 kg (564.4 pounds),140 mm (5.5 inches),1515 mm (59.6 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection (ESPFI),2022,,"Single disc. Optional ABS, dual piston",100/90-B19 ,"653 mm (25.7 inches) If adjustable, lowest setting.",51.0 HP (37.2  kW)) @ 6000 RPM,
158,Liquid,Pan America 1250,127.5 Nm (13.0 kgf-m or 94.0 ft.lbs) @ 6750 RPM,104.9 x 72.4 mm (4.1 x 2.9 inches),Chain   (final drive),229.1 kg (505.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke",Linkage-mounted monoshock with automatic electronic preload control and semi-active compression  and  rebound damping,2271 mm (89.4 inches),Electric,1250.4 ccm (76.30 cubic inches),"Single disc. Floating, single piston caliper. ABS.",13.0:1,,,,47mm inverted fork with electronically adjustable semi-active damping control. Aluminum fork triple clamps.,21.20 litres (5.60 US gallons),,170/60-R17 ,Harley-Davidson,6-speed,118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.11 litres/100 km (19.6 km/l or 46.03 mpg),Super motard,,244.9 kg (540.0 pounds),211 mm (8.3 inches),1580 mm (62.2 inches),,Injection. Electronic Sequential Port Fuel Injection,2022,,"Double disc. Radially mounted, monoblock, 4-piston caliper. ABS.",120/70-R19 ,"813 mm (32.0 inches) If adjustable, lowest setting.",150.0 HP (109.5  kW)) @ 9000 RPM,190 mm (7.5 inches)
159,Liquid,Pan America 1250 Special,127.5 Nm (13.0 kgf-m or 94.0 ft.lbs) @ 6750 RPM,104.9 x 72.4 mm (4.1 x 2.9 inches),Chain   (final drive),242.2 kg (534.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke",Linkage-mounted monoshock with automatic electronic preload control and semi-active compression  and  rebound damping,2271 mm (89.4 inches),Electric,1250.4 ccm (76.30 cubic inches),"Single disc. Floating, single piston caliper. ABS.",13.0:1,,,,47mm inverted fork with electronically adjustable semi-active damping control. Aluminum fork triple clamps.,21.20 litres (5.60 US gallons),,170/60-R17 ,Harley-Davidson,6-speed,118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.11 litres/100 km (19.6 km/l or 46.03 mpg),Super motard,,258.1 kg (569.0 pounds),175 mm (6.9 inches),1585 mm (62.4 inches),,Injection. Electronic Sequential Port Fuel Injection,2022,,"Double disc. Radially mounted, monoblock, 4-piston caliper. ABS.",120/70-R19 ,"813 mm (32.0 inches) If adjustable, lowest setting.",150.0 HP (109.5  kW)) @ 9000 RPM,190 mm (7.5 inches)
160,Air,Road Glide,150.5 Nm (15.3 kgf-m or 111.0 ft.lbs) @ 3250 RPM,100.0 x 111.1 mm (3.9 x 4.4 inches),Belt   (final drive),372.0 kg (820.1 pounds),,,Dry sump,"V2, four-stroke",Twin shocks. Premium Low Hand-Adjustable.,2431 mm (95.7 inches),Electric,1746.0 ccm (106.54 cubic inches),Single disc. Optional ABS. 4-piston,10.0:1,,,,Telescopic Fork. 49mm Dual Bending Valve.,22.71 litres (6.00 US gallons),,180/55-B18 ,Harley-Davidson,6-speed,126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.47 litres/100 km (18.3 km/l or 43.00 mpg),Touring,,388.0 kg (855.4 pounds),140 mm (5.5 inches),1625 mm (64.0 inches),Multi-plate with diaphragm spring in oil bath,Injection. ESPFI,2022,,Double disc. Optional ABS. 4-piston,130/70-B19 ,"658 mm (25.9 inches) If adjustable, lowest setting.",89.0 HP (65.0  kW)) @ 5450 RPM,
161,Oil & air,Road Glide Limited,165.4 Nm (16.9 kgf-m or 122.0 ft.lbs) @ 3000 RPM,102.0 x 114.3 mm (4.0 x 4.5 inches),Belt   (final drive),406.9 kg (897.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke","Twin shocks,  premium low hand-adjustable",2596 mm (102.2 inches),Electric,1868.0 ccm (113.99 cubic inches),Single disc. ABS. 4-piston,10.5:1,,,,"Telescopic fork, 49 mm dual bending valve",22.71 litres (6.00 US gallons),,180/55-B18 ,Harley-Davidson,6-speed,126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.47 litres/100 km (18.3 km/l or 43.00 mpg),Touring,,422.8 kg (932.0 pounds),130 mm (5.1 inches),1625 mm (64.0 inches),Multi-plate with diaphragm spring in oil bath,Injection. ESPFI,2022,,Double disc. ABS. 4-piston,130/70-B18 ,"691 mm (27.2 inches) If adjustable, lowest setting.",89.0 HP (65.0  kW)) @ 5450 RPM,
162,Oil & air,Road Glide Special,160.0 Nm (16.3 kgf-m or 118.0 ft.lbs) @ 3250 RPM,102.0 x 114.3 mm (4.0 x 4.5 inches),Belt   (final drive),371.0 kg (818.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke","Twin shocks,  premium low hand-adjustable",2430 mm (95.7 inches),Electric,1868.0 ccm (113.99 cubic inches),Single disc. ABS. 4-piston,10.5:1,,,,"Telescopic fork, 49 mm dual bending valve",22.71 litres (6.00 US gallons),,180/55-B18 ,Harley-Davidson,6-speed,126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.47 litres/100 km (18.3 km/l or 43.00 mpg),Touring,,386.9 kg (853.0 pounds),130 mm (5.1 inches),1625 mm (64.0 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection ,2022,,Double disc. ABS. 4-piston,130/60-B19 ,"663 mm (26.1 inches) If adjustable, lowest setting.",100.0 HP (73.0  kW)) @ 5020 RPM,
163,Air,Road King,150.5 Nm (15.3 kgf-m or 111.0 ft.lbs) @ 3250 RPM,100.0 x 111.1 mm (3.9 x 4.4 inches),Belt   (final drive),360.2 kg (794.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke",Twin shocks. Premium standard height hand-adjustable.,2450 mm (96.5 inches),Electric,1746.0 ccm (106.54 cubic inches),Single disc. Optional ABS. 4-piston,10.0:1,,,,"Telescopic fork, 49 mm dual bending valve",22.71 litres (6.00 US gallons),,180/55-B18 ,Harley-Davidson,6-speed,126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.47 litres/100 km (18.3 km/l or 43.00 mpg),Touring,,375.6 kg (828.0 pounds),135 mm (5.3 inches),1625 mm (64.0 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection ,2022,,Double disc. Optional ABS. 4-piston,130/70-B18 ,"668 mm (26.3 inches) If adjustable, lowest setting.",89.0 HP (65.0  kW)) @ 5450 RPM,
164,Air,Road King Special,160.0 Nm (16.3 kgf-m or 118.0 ft.lbs) @ 3250 RPM,102.0 x 114.3 mm (4.0 x 4.5 inches),Belt   (final drive),351.1 kg (774.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),Dry sump,"V2, four-stroke","Twin shocks,  premium low hand-adjustable",2420 mm (95.3 inches),Electric,1868.0 ccm (113.99 cubic inches),Single disc. ABS. 4-piston,10.5:1,,,,"Telescopic fork, 49 mm dual bending valve",22.71 litres (6.00 US gallons),,180/55-B18 ,Harley-Davidson,6-speed,121.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.23 litres/100 km (19.1 km/l or 44.98 mpg),Touring,,366.1 kg (807.0 pounds),124 mm (4.9 inches),1625 mm (64.0 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection ,2022,,Double disc. ABS. 4-piston,130/60-B19 ,"671 mm (26.4 inches) If adjustable, lowest setting.",100.0 HP (73.0  kW)) @ 5000 RPM,
165,Air,Softail Standard,149.2 Nm (15.2 kgf-m or 110.0 ft.lbs) @ 3000 RPM,100.0 x 111.1 mm (3.9 x 4.4 inches),Belt   (final drive),291.2 kg (642.0 pounds),,,,"V2, four-stroke","Hidden, free piston, coil-over monoshock; 43mm stroke; cam-style preload adjustment",2319 mm (91.3 inches),Electric,1753.5 ccm (107.00 cubic inches),Single disc. 2-piston floating. Optional ABS.,10.0:1,,,,Dual-bending valve 49 mm telescopic with aluminum fork triple clamps; dual rate spring,13.25 litres (3.50 US gallons),,150/80-B16 ,Harley-Davidson,5-speed,116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.00 litres/100 km (20.0 km/l or 47.04 mpg),Custom / cruiser,170.0 km/h (105.6 mph),297.1 kg (655.0 pounds),124 mm (4.9 inches),1631 mm (64.2 inches),,Injection. Electronic Sequential Port Fuel Injection,2022,103 mm (4.1 inches),Single disc. 4-piston fixed. Optional ABS.,100/90-B19 ,"655 mm (25.8 inches) If adjustable, lowest setting.",,142 mm (5.6 inches)
166,Air,Sportster S ,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,105.0 x 72.3 mm (4.1 x 2.8 inches),Belt   (final drive),220.9 kg (487.0 pounds),,,,"V2, four-stroke","Linkage-mounted, piggyback monoshock with compression, rebound and hydraulic spring preload adjustability",2271 mm (89.4 inches),Electric,1252.1 ccm (76.40 cubic inches),"Single disc. ABS. Floating, single piston caliper",12.0:1,,,,"43 mm inverted fork with compression, rebound and spring preload adjustability. Aluminum fork triple clamps.",11.73 litres (3.10 US gallons),,180/70-R16 ,Harley-Davidson,6-speed,111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,4.80 litres/100 km (20.8 km/l or 49.00 mpg),Sport,,227.7 kg (502.0 pounds),76 mm (3.0 inches),1519 mm (59.8 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection (ESPFI),2022,,"Single disc. ABS. Radially mounted, monoblock, 4-piston caliper",160/70-ZR17 ,"734 mm (28.9 inches) If adjustable, lowest setting.",121.0 HP (88.3  kW)) @ 7500 RPM,
167,Air,Street Bob 114,161.4 Nm (16.5 kgf-m or 119.0 ft.lbs) @ 3000 RPM,102.0 x 114.3 mm (4.0 x 4.5 inches),Belt   (final drive),286.2 kg (631.0 pounds),,Double Overhead Cams/Twin Cam (DOHC),,"V2, four-stroke","Hidden, free piston, coil-over monoshock; 43mm stroke; cam-style preload adjustment",2320 mm (91.3 inches),Electric,1868.2 ccm (114.00 cubic inches),Single disc. Optional ABS. 2-piston,10.5:1,,,,Dual-bending valve 49 mm telescopic with aluminum fork triple clamps; dual rate spring; gaiter covers,13.20 litres (3.49 US gallons),,150/80-B16 ,Harley-Davidson,6-speed,116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,5.00 litres/100 km (20.0 km/l or 47.04 mpg),Custom / cruiser,,297.1 kg (655.0 pounds),125 mm (4.9 inches),1630 mm (64.2 inches),Multi-plate with diaphragm spring in oil bath,Injection. Electronic Sequential Port Fuel Injection (ESPFI),2022,,Single disc. Optional ABS. 4-piston fixed.,100/90-B19 ,"655 mm (25.8 inches) If adjustable, lowest setting.",,
